	Date	Code	CompanyName	CompanyNameEnglish	Sector17Code	Sector17CodeName	Sector33Code	Sector33CodeName	ScaleCategory	MarketCode	MarketCodeName
3993	2023-07-14	93400	アソインターナショナル	ASO INTERNATIONAL,INC.	10	情報通信・サービスその他	9050	サービス業	-	0112	スタンダード
3994	2023-07-14	93410	ＧＥＮＯＶＡ	GENOVA,Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
3995	2023-07-14	93420	スマサポ	Sumasapo Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
3996	2023-07-14	93430	アイビス	ibis inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
3997	2023-07-14	93440	アクシスコンサルティング	Axis Consulting Corporation	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
3998	2023-07-14	93450	ビズメイツ	Bizmates,Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
3999	2023-07-14	93460	ココルポート	Cocorport,Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4000	2023-07-14	93470	日本管財ホールディングス	NIPPON KANZAI Holdings Co.,Ltd.	10	情報通信・サービスその他	9050	サービス業	TOPIX Small 1	0111	プライム
4001	2023-07-14	93480	ｉｓｐａｃｅ	ispace,inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
4002	2023-07-14	93510	東洋埠頭	TOYO WHARF & WAREHOUSE CO.,LTD.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0111	プライム
4003	2023-07-14	93530	櫻島埠頭	SAKURAJIMA FUTO KAISHA,LTD.	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
4004	2023-07-14	93550	リンコーコーポレーション	RINKO CORPORATION	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
4005	2023-07-14	93600	鈴与シンワート	SUZUYO SHINWART CORPORATION	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4006	2023-07-14	93610	伏木海陸運送	FUSHIKI KAIRIKU UNSO CO.,LTD.	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
4007	2023-07-14	93620	兵機海運	HYOKI KAIUN KAISHA,LTD.	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
